id,text,A_text,A_attrs,B_text,B_attrs,C_text,C_attrs,D_text,D_attrs
11,An aggressive stray dog is blocking the only path to your front door.,Use a large object as a barrier and find a way to redirect the dog.,"Strength,Wisdom","Use a distraction, like keys or a toy, to lure the animal away.","Conviction,Ingenuity","Move past with steady movements, ready to react if it lunges.","Composure,Dexterity",Read the body language for fear and use a reassuring tone.,"Empathy,Perception"
12,You’re at a very high class social gala and spill a drink on a prominent guest.,Hold your head high and shrug it off with absolute confidence.,"Aura,Fortitude",Explain how the stain can be treated and help with cleanup.,"Wisdom,Strength",Turn the accident into a clever opening for a business pitch.,"Ingenuity,Conviction",Blot the liquid with speed and offer a professional apology.,"Dexterity,Composure"
13,You are stuck in an elevator during a heatwave with three panicked strangers.,Identify the person most likely to faint and focus on helping them.,"Perception,Empathy",Lean against the wall and endure the heat in silence.,"Fortitude,Aura",Use body weight to force doors and build a makeshift fan.,"Strength,Ingenuity",Convince the group help is coming while you manipulate wires.,"Conviction,Dexterity"
14,"A local gym challenges you to a ""Last Person Standing"" endurance trial for a prize.",Tune out the noise and watch competitors for signs of fatigue.,"Composure,Perception",Encourage the person next to you to fuel your own endurance.,"Empathy,Fortitude",Project an air of invincibility to make others want to quit.,"Aura,Strength",Ration energy mathematically; failure is not an option.,"Wisdom,Conviction"
15,"You find a wallet full of cash with no ID, just a business card for a high-end members only club",Use the card to find a digital guest list with a straight face.,"Ingenuity,Composure",Search the wallet for a receipt to track the owner out of kindness.,"Dexterity,Empathy",Notice the unique scent or wear and trust your luck to find them.,"Perception,Aura","Wait by the entrance, deducing the owner will return to look.","Fortitude,Wisdom"
16,"You are participating in a muddy, 10-mile ""Obstacle Course"" race for charity.",Vault over walls and scramble through mud with raw power.,"Strength,Dexterity",Fix your gaze on the finish line with hyper-awareness.,"Conviction,Perception",Maintain a steady pace that outlasts the faster runners.,"Composure,Fortitude",Stop to help a teammate through a climb with your own strength.,"Empathy,Strength"
17,A localized earthquake has caused a shelving unit to pin a person in a store.,Command the crowd to lift the shelf with absolute certainty.,"Aura,Conviction",Assess ceiling instability and calmly coordinate the rescue.,"Wisdom,Composure",Fashion a temporary brace and talk to the victim to keep them alert.,"Ingenuity,Empathy","Reach into the gap with precision, trusting your luck.","Dexterity,Aura"
18,You’re at a high-pressure press conference defending a controversial project.,Anticipate trick questions and counter with technical logic.,"Perception,Wisdom","Stand under fire for hours, using analogies to deflect criticism.","Fortitude,Ingenuity",Use your powerful voice to command the room and stay alert.,"Strength,Perception","Defend your position with belief, refusing to back down.","Conviction,Fortitude"
19,"You are ""urban exploring"" in a derelict building when the floor gives way in front of you.",Catch yourself on a beam and pull up with an explosive movement.,"Composure,Strength",Warn your partner to stay back and resolve to find a way out.,"Empathy,Conviction",Stand perfectly still on the edge while looking for a new path.,"Aura,Composure",Recall blueprints and guide the group to the safest area.,"Wisdom,Empathy"
20,"A heavy safe in your office contains vital documents, but the keypad is fried.",Attempt a social engineering call while hoping for a default code.,"Ingenuity,Aura",Take the keypad apart to bridge wires using electronic knowledge.,"Dexterity,Wisdom",Look for wear on the buttons and build a tool to bypass the lock.,"Perception,Ingenuity","Spend the night drilling with steady, unwavering precision.","Fortitude,Dexterity"
